Line,set(),{'la_1'},{'a_2'},{'i_1'},{'o_1'},"{'i_1', 'o_1'}",{'e_2'},"{'a_2', 'e_2'}","{'a_2', 'i_1'}",{'la_2'},{'a_3'},"{'a_3', 'e_2'}","{'a_2', 'a_3', 'e_2'}","{'o_1', 'e_2'}"
0,10.0,10.1,,,,,,,,,,,,
1,10.0,0,10.0,10.1,,,,,,,,,,
2,10.0,0,10.1,10.1,,,,,,,,,,
3,10.0,0,10.2,10.1,,,,,,,,,,
4,10.0,0,10.299999999999999,10.1,,,,,,,,,,
5,10.0,0,10.299999999999999,10.1,10.1,,,,,,,,,
6,10.0,0,10.399999999999999,10.1,10.1,,,,,,,,,
7,10.0,0,10.399999999999999,10.1,10.2,,,,,,,,,
8,10.0,0,10.399999999999999,10.1,10.299999999999999,,,,,,,,,
9,10.0,0,10.399999999999999,10.1,10.399999999999999,,,,,,,,,
10,10.0,0,10.499999999999998,10.1,10.399999999999999,,,,,,,,,
11,10.0,0,10.599999999999998,10.1,10.399999999999999,,,,,,,,,
12,10.0,0,10.599999999999998,10.1,10.499999999999998,,,,,,,,,
13,10.0,0,10.599999999999998,10.1,10.499999999999998,,,,,,,,,
14,10.0,0,10.599999999999998,10.1,10.599999999999998,,,,,,,,,
15,10.0,0,10.699999999999998,10.1,10.599999999999998,,,,,,,,,
16,10.0,0,10.799999999999997,10.1,10.599999999999998,,,,,,,,,
17,10.0,0,10.799999999999997,10.1,10.699999999999998,,,,,,,,,
18,10.0,0,10.899999999999997,10.1,10.699999999999998,,,,,,,,,
19,10.0,0,10.999999999999996,10.1,10.699999999999998,,,,,,,,,
20,10.0,0,11.099999999999996,10.1,10.699999999999998,,,,,,,,,
21,10.0,0,11.199999999999996,10.1,10.699999999999998,,,,,,,,,
22,10.0,0,11.199999999999996,10.2,10.699999999999998,,,,,,,,,
23,10.0,0,11.299999999999995,10.2,10.699999999999998,,,,,,,,,
24,10.0,0,11.299999999999995,10.2,10.699999999999998,10.0,,,,,,,,
25,10.0,0,11.399999999999995,10.2,10.699999999999998,10.0,,,,,,,,
26,10.0,0,11.499999999999995,10.2,10.699999999999998,10.0,,,,,,,,
27,10.0,0,11.499999999999995,10.2,10.699999999999998,10.0,,,,,,,,
28,10.0,0,11.499999999999995,10.2,10.699999999999998,10.0,,,,,,,,
29,10.0,0,11.599999999999994,10.2,10.699999999999998,10.0,,,,,,,,
30,10.0,0,11.699999999999994,10.2,10.699999999999998,10.0,,,,,,,,
31,10.0,0,11.699999999999994,10.2,10.699999999999998,10.0,,,,,,,,
32,10.0,0,11.799999999999994,10.2,10.699999999999998,10.0,,,,,,,,
33,10.0,0,11.799999999999994,10.2,10.799999999999997,10.0,,,,,,,,
34,10.0,0,11.899999999999993,10.2,10.799999999999997,10.0,,,,,,,,
35,10.0,0,11.899999999999993,10.2,10.799999999999997,10.0,,,,,,,,
36,10.0,0,11.999999999999993,10.2,10.799999999999997,10.0,,,,,,,,
37,10.0,0,11.999999999999993,10.2,10.799999999999997,10.1,,,,,,,,
38,10.0,0,11.999999999999993,10.2,10.799999999999997,10.2,,,,,,,,
39,10.0,0,11.999999999999993,10.2,10.799999999999997,10.2,10.0,,,,,,,
40,10.0,0,11.999999999999993,10.2,10.799999999999997,10.2,10.0,,,,,,,
41,10.0,0,11.999999999999993,10.2,10.799999999999997,10.2,10.0,,,,,,,
42,10.0,0,11.999999999999993,10.299999999999999,10.799999999999997,10.2,10.0,,,,,,,
43,10.0,0,11.999999999999993,10.299999999999999,10.799999999999997,10.2,10.0,,,,,,,
44,10.0,0,12.099999999999993,10.299999999999999,10.799999999999997,10.2,10.0,,,,,,,
