Line,"{'+atomic', '+definite'} - definite - a_2","{'+definite', '-atomic'} - definite - i_1","{'+atomic', '+definite'} - definite - o_1","{'+atomic', '-definite'} - definite - a_2","{'+atomic', '-definite'} - definite - o_1","{'+definite', '-atomic'} - definite - e_2","{'+atomic', '-definite'} - definite - a_3","{'+atomic', '+definite'} - definite - o_3",{'+atomic'} - definite - a_2
0,,,,,,,,,
1,1,1,,,,,,,
2,1.1,1.1,,,,,,,
3,1.2000000000000002,1.2000000000000002,,,,,,,
4,1.4000000000000004,1.3000000000000003,,,,,,,
5,1.4000000000000004,1.4000000000000004,1,,,,,,
6,1.6000000000000005,1.5000000000000004,1,,,,,,
7,1.6000000000000005,1.6000000000000005,1.1,,,,,,
8,1.6000000000000005,1.7000000000000006,1.2000000000000002,,,,,,
9,1.6000000000000005,1.8000000000000007,1.3000000000000003,,,,,,
10,1.7000000000000006,1.8000000000000007,1.3000000000000003,1,,,,,
11,1.9000000000000008,1.9000000000000008,1.3000000000000003,1.1,,,,,
12,1.9000000000000008,2.000000000000001,1.5000000000000004,1.1,,,,,
13,2.100000000000001,2.100000000000001,1.5000000000000004,1.2000000000000002,,,,,
14,2.100000000000001,2.200000000000001,1.6000000000000005,1.2000000000000002,,,,,
15,2.4000000000000012,2.300000000000001,1.6000000000000005,1.3000000000000003,,,,,
16,2.6000000000000014,2.4000000000000012,1.6000000000000005,1.4000000000000004,,,,,
17,2.6000000000000014,2.5000000000000013,1.7000000000000006,1.4000000000000004,,,,,
18,2.8000000000000016,2.6000000000000014,1.7000000000000006,1.5000000000000004,,,,,
19,2.9000000000000017,2.6000000000000014,1.7000000000000006,1.6000000000000005,,,,,
20,3.0000000000000018,2.6000000000000014,1.7000000000000006,1.7000000000000006,,,,,
21,3.300000000000002,2.7000000000000015,1.7000000000000006,1.8000000000000007,,,,,
22,3.400000000000002,2.9000000000000017,1.8000000000000007,1.8000000000000007,,,,,
23,3.6000000000000023,3.0000000000000018,1.8000000000000007,1.9000000000000008,,,,,
24,3.6000000000000023,3.0000000000000018,1.9000000000000008,1.9000000000000008,1,,,,
25,3.9000000000000026,3.100000000000002,1.9000000000000008,2.000000000000001,1,,,,
26,4.100000000000002,3.200000000000002,1.9000000000000008,2.100000000000001,1,,,,
27,4.300000000000002,3.300000000000002,1.9000000000000008,2.200000000000001,1,,,,
28,4.500000000000001,3.400000000000002,1.9000000000000008,2.300000000000001,1,,,,
29,4.7,3.500000000000002,1.9000000000000008,2.4000000000000012,1,,,,
30,4.999999999999999,3.6000000000000023,1.9000000000000008,2.5000000000000013,1,,,,
31,4.999999999999999,3.6000000000000023,2.000000000000001,2.5000000000000013,1.1,,,,
32,5.199999999999998,3.7000000000000024,2.000000000000001,2.6000000000000014,1.1,,,,
33,5.199999999999998,3.7000000000000024,2.100000000000001,2.6000000000000014,1.2000000000000002,,,,
34,5.499999999999997,3.8000000000000025,2.100000000000001,2.7000000000000015,1.2000000000000002,,,,
35,5.599999999999997,3.8000000000000025,2.100000000000001,2.8000000000000016,1.2000000000000002,,,,
36,5.699999999999997,3.8000000000000025,2.100000000000001,2.9000000000000017,1.2000000000000002,,,,
37,5.699999999999997,3.9000000000000026,2.300000000000001,2.9000000000000017,1.3000000000000003,,,,
38,5.699999999999997,4.000000000000003,2.5000000000000013,2.9000000000000017,1.4000000000000004,,,,
39,5.799999999999996,4.000000000000003,2.6000000000000014,2.9000000000000017,1.4000000000000004,1.1,,,
40,6.199999999999995,4.100000000000002,2.6000000000000014,3.0000000000000018,1.4000000000000004,1.2000000000000002,,,
41,6.199999999999995,4.200000000000002,2.9000000000000017,3.0000000000000018,1.5000000000000004,1.3000000000000003,,,
42,6.2999999999999945,4.400000000000001,3.0000000000000018,3.0000000000000018,1.5000000000000004,1.3000000000000003,,,
43,6.2999999999999945,4.500000000000001,3.300000000000002,3.0000000000000018,1.6000000000000005,1.4000000000000004,,,
44,6.599999999999993,4.6000000000000005,3.300000000000002,3.100000000000002,1.6000000000000005,1.5000000000000004,,,
45,6.699999999999993,4.8,3.400000000000002,3.100000000000002,1.6000000000000005,1.5000000000000004,,,
46,6.999999999999992,4.8999999999999995,3.400000000000002,3.200000000000002,1.6000000000000005,1.6000000000000005,,,
47,7.099999999999992,5.099999999999999,3.500000000000002,3.200000000000002,1.6000000000000005,1.6000000000000005,,,
48,7.199999999999991,5.299999999999998,3.6000000000000023,3.200000000000002,1.6000000000000005,1.6000000000000005,,,
49,7.49999999999999,5.399999999999998,3.6000000000000023,3.300000000000002,1.6000000000000005,1.7000000000000006,,,
50,7.799999999999989,5.499999999999997,3.6000000000000023,3.400000000000002,1.6000000000000005,1.8000000000000007,,,
51,8.199999999999989,5.599999999999997,3.6000000000000023,3.500000000000002,1.6000000000000005,1.9000000000000008,,,
52,8.199999999999989,5.699999999999997,3.9000000000000026,3.500000000000002,1.7000000000000006,2.000000000000001,,,
53,8.199999999999989,5.799999999999996,4.200000000000002,3.500000000000002,1.8000000000000007,2.100000000000001,,,
54,8.499999999999988,5.899999999999996,4.200000000000002,3.6000000000000023,1.8000000000000007,2.200000000000001,,,
55,8.799999999999986,5.999999999999996,4.200000000000002,3.7000000000000024,1.8000000000000007,2.300000000000001,,,
56,9.099999999999985,6.099999999999995,4.200000000000002,3.8000000000000025,1.8000000000000007,2.4000000000000012,,,
57,9.399999999999984,6.199999999999995,4.200000000000002,3.9000000000000026,1.8000000000000007,2.5000000000000013,,,
58,9.399999999999984,6.2999999999999945,4.500000000000001,3.9000000000000026,1.9000000000000008,2.6000000000000014,,,
59,9.399999999999984,6.399999999999994,4.8,3.9000000000000026,2.000000000000001,2.7000000000000015,,,
60,9.499999999999984,6.399999999999994,4.8999999999999995,3.9000000000000026,2.000000000000001,2.9000000000000017,,,
61,9.499999999999984,6.499999999999994,5.199999999999998,3.9000000000000026,2.100000000000001,3.0000000000000018,,,
62,9.499999999999984,6.599999999999993,5.499999999999997,3.9000000000000026,2.200000000000001,3.100000000000002,,,
63,9.899999999999983,6.699999999999993,5.499999999999997,4.000000000000003,2.200000000000001,3.200000000000002,,,
64,9.999999999999982,6.699999999999993,5.499999999999997,4.100000000000002,2.200000000000001,3.200000000000002,,,
65,9.999999999999982,6.799999999999993,5.799999999999996,4.100000000000002,2.300000000000001,3.300000000000002,,,
66,10.299999999999981,6.899999999999992,5.799999999999996,4.200000000000002,2.300000000000001,3.400000000000002,,,
